Designator,Mid X,Mid Y,Rotation,Layer
C1,100.674043,-85.899862,0.0,top
C10,108.694043,-88.409862,0.0,top
C11,108.694043,-90.919862,0.0,top
C12,108.694043,-93.429862,0.0,top
C2,100.674043,-88.409862,0.0,top
C3,100.674043,-90.919862,0.0,top
C4,100.674043,-93.429862,0.0,top
C5,104.684043,-85.899862,0.0,top
C6,104.684043,-88.409862,0.0,top
C7,104.684043,-90.919862,0.0,top
C8,104.684043,-93.429862,0.0,top
C9,108.694043,-85.899862,0.0,top
L1,111.924043,-85.519862,0.0,top
L2,112.44395,-90.969665,0.0,top
R1,111.924043,-87.269862,0.0,top
R2,111.924043,-89.019862,0.0,top
U1,122.0,-124.0,90.0,top
U2,144.5,-111.124968,0.0,top
U3,110.900051,-100.599949,0.0,top
U4,130.599949,-116.0,0.0,bottom
U5,129.5,-93.0,0.0,bottom
U6,108.0,-117.324867,0.0,top
U7,120.750064,-109.010033,0.0,bottom
U9,93.0,-102.162497,0.0,bottom
X1,112.171045,-96.912319,0.0,top
